क्र ,पुस्तकाचे नाव ,लेखक ,किंमत ,सवलतीत 
86,एकत्रित विचार करू या,अहिल्या चारी,150,113
87,आकाश कसे पहावे भाग-२,आनंद घैसास,130,98
88,आकाश कसे पहावे भाग-३,आनंद घैसास,150,113
89,आपली सूर्यमाला,आनंद घैसास,180,162
90,आपली सूर्यमाला: उपग्रह,आनंद घैसास,90,68
91,आपली सूर्यमाला: धूमकेतू,आनंद घैसास,90,68
92,कृष्णविवर,आनंद घैसास,90,68
93,खेळ खेळूया विज्ञानाचे डोंगर - भाग 3,आनंद घैसास,99,74
94,खेळ खेळूया विज्ञानाचे बिल्डिंग  - भाग-1,आनंद घैसास,99,74
95,खेळ खेळूया विज्ञानाचे मेम्बती - भाग-2,आनंद घैसास,99,74
96,ज्वालामुखी,आनंद घैसास,90,68
97,डायनोसॉर,आनंद घैसास,99,74
98,युवा विज्ञान कुतूहल - भाग-२,आनंद घैसास,90,68
99,युवा विज्ञान कुतूहल भाग-१,आनंद घैसास,90,68
100,युवा विज्ञान कुतूहल भाग-३,आनंद घैसास,90,68
101,विष्ठा,आनंद घैसास,99,74
102,शास्त्रज्ञ व्हा! भाग -१,आनंद घैसास,99,74
103,शास्त्रज्ञ व्हा! भाग -२,आनंद घैसास,99,74
104,शास्त्रज्ञ व्हा! भाग -३,आनंद घैसास,99,74
105,शास्त्रज्ञ व्हा! भाग -4,आनंद घैसास,99,74
106,हाऊ टू आब्जर्व स्काय पार्ट-१,आनंद घैसास,120,90
107,हाऊ टू आब्जर्व स्काय पार्ट-२,आनंद घैसास,120,90
108,हाऊ टू आब्जर्व स्काय पार्ट-३,आनंद घैसास,150,113
109,चिमुकलीचे देशप्रेम,आबा गोविंदा महाजन,२२०,१४३
110,टांगाटोली (द्वितीय आवृत्ती) ,आबा गोविंदा महाजन,१५०,९८
111,टू माय व्हिलेज (इंग्रजी),आबा गोविंदा महाजन,१३०,८५
112,ठोंब्या,आबा गोविंदा महाजन,१००,६५
113,ठोब्या गेला मंगळावर,आबा गोविंदा महाजन,२००,१३०
114,बिस्किटचा बंगला,आबा गोविंदा महाजन,१००,६५
115,बिस्किटचा बंगला (इंग्रजी),आबा गोविंदा महाजन,१००,६५
116,लई मज्जा रे (इंग्रजी),आबा गोविंदा महाजन,१२०,७८
117,लई मज्जा रे...,आबा गोविंदा महाजन,१२०,७८
118,सोनूची डॅशिंग गोष्ट,आबा गोविंदा महाजन,१५०,९८
119,हुर्रेऽऽ,आबा गोविंदा महाजन,१३०,८५
120,जॅक्रुला,आबा महाजन,99,74
121,बॉर्न अ क़ाईम,आभा पटवर्धन,360,270
