क्र ,पुस्तकाचे नाव ,लेखक ,किंमत ,सवलतीत 
367,ईंग्लिश ग्रामर इन मराठी,रमेश फुलारी,499,374
368,परकीय हात,रवि आमले,599,449
369,राॅ,रवि आमले,325,244
370,वरून ते बहिर्जी,रवि आमले,280,210
371,फुकटचेच सल्ले,रवींद्र तांबोळी,190,143
372,तुरुंगरंग,रवींद्रनाथ पाटील,550,413
373,स्वाधीन की दैवाधीन,रा गो साळवी,३५०,२२८
374,कॅप्टन टोफू आणि इतर कथा,राजीव तांबे,१४०,९१
375,गणित पत्ते गणित पक्के,राजीव तांबे,१७०,१११
376,ट्रायो,राजीव तांबे,२४०,१५६
377,डेंजरस झिरो ग्राऊंड प्लेट,राजीव तांबे,२२०,१४३
378,पकोडी,राजीव तांबे,135,101
379,पुस्तकं वाचणारा टोफू,राजीव तांबे,१४०,९१
380,राक्षसराज अगडबंब आणि जादूचा आरसा,राजीव तांबे,१८०,११७
381,राक्षसराज अगडबंब आणि धगधगते निखारे,राजीव तांबे,१८०,११७
382,राक्षसराज अगडबंब आणि बटाटेवडे,राजीव तांबे,२००,१३०
383,लंबेलांंब सायकल आणि इतर कथा,राजीव तांबे,१४०,९१
384,विकोडी,राजीव तांबे,135,101
385,जगायचं कसं,राजीव नंदकर,299,224
386,मनातली पत्रे,राजीव बर्वे,४५०,२९३
387,सरदार वल्लभभाई पटेल,राजेन्द्र साठे,425,319
388,ताई मी कलेक्टर व्हयनू,राजेश पाटील,200,170
389,शाळेपासून मुक्ती वर्षापुरती,राहुल अल्वारीस,130,98
390,अंदमानातील क्रांतीकारक,रुपेश पाटकर,225,169
391,ज्ञातापलीकडे,रेखा बैजल,२८०,१८२
392,न संपणारी रेघ,रेखा बैजल ,२३०,१५०
393,800 शालेय प्रकल्प,रेणू दांडेकर,150,113
394,अजबची गजब कथा,रेणू दांडेकर,१२०,७८
395,आम्ही सांगतो पाऊस आला,रेणू दांडेकर,१३०,८५
396,खेळातून व्याकरण ,रेणू दांडेकर,199,149
397,मुग्यांच्या जगात,रेणू दांडेकर,१३०,८५
398,विठू विठू विठोबा,रेणू दांडेकर,१२०,७८
399,शिकू या आनंदे,रेणू दांडेकर,160,120
400,संवाद तरुणाईशी,रेणू दांडेकर,100,75
401,सिंधी,रोहिणी तुकदेव,450,338
402,मी हिजडा... मी लक्ष्मी!,लक्ष्मीकांत त्रिपाठी,250,188
403,सावित्रीच्या गर्भात मारलेल्या लेकी,लक्ष्मीकांत देशमुख,250,188
404,एज्युकेटेड,वंदना भागवत,520,390
405,जंगलातील दिवाळी,वंदना हुळबत्ते,२००,१३०
406,गंमत शब्दांची,वर्षा चौगुले,225,169
407,राजमाता जिजाऊसाहेब,वसुधा पवार,225,169
408,स्वातंत्र्यसौदामिनी महाराणी ताराबाई,वसुधा पवार,250,188
409,विन्स्टन चर्चिल ,वि. ग. कानिटकर,७००,४५५
410,व्हिएतनाम : अर्थ आणि अनर्थ,वि. ग. कानिटकर,५००,३२५
411,हिटलरचे महायुद्ध,वि. ग. कानिटकर,१२०,७८
412,क्रांतीचे चित्र आणि चरित्र-माओ,वि. ग. कानिटकर ,६५०,४२३
413,धर्म महात्मा गांधीचा आणि स्वा. सावरकरांचा ,वि. ग. कानिटकर ,२५०,१६३
414,फाळणी-युगान्तापूर्वीचा काळोख,वि. ग. कानिटकर ,६५०,४२३
415,आपल्या मुली वाढविताना,विजया वाड,190,143
416,जीवाश्म,विद्याधर बोरकर,150,113
417,ऑपरेशन सिंदूर,विनायक डावरे,३००,१९५
418,गणिती चातुर्य कथा,विपुला अभ्यंकर,120,90
419,युगसंवाद,विश्राम गुप्ते,७००,४५५
420,प्रश्न तुमचे उत्तर तेनाली रमणचे,वृंदा चापेकर,180,135
421,पार्थसूत्र,वैभव केळकर,३००,१९५
422,जांभळीचा बंगला,वैशाली सूर्यवंशी,१५०,९८
423,तर्खडकर,व्ही.पी.कामतकर,350,263
424,कल्पक व्हावं कसं?,शिवराज गोर्ले,३५०,२२८
425,तुम्हीही व्हा श्रीमंत,शेखर गजभार,450,338
426,बहुरूप गांधी,शोभा भागवत,150,113
427,शिक्षण आणि शांती,शोभा भागवत,160,120
428,भारतरत्न (५० पुस्तकांचा संच),श्यामसुंदर मुळे,२०००,१३००
429,चांगले सूत्रसंचालन कसे करावे ,श्रीनिवास गडकरी,१३०,८५
430,वेळेचे व्यवस्थापन,श्रीनिवास गडकरी ,६०,३९
431,आणीबाणीचे नायक आणि खलनायक,श्रीमंत माने,580,435
432,हा देश आमचा आहे,श्रीमंत माने,325,244
433,तुमचे-आमचे सुपरहिरो - पी.व्ही.सिंधू,संजय डोंगरे,99,74
434,सलाम मलाला,संजय मेश्राम,160,120
435,नेहरुच्या ११५ घोडचुका ,संजय लडगे,७५०,४८८
436,कवडशांचे फूल,संजीवनी बोकील,३००,१९५
437,गोष्टीतून कबीर,संजीवनी बोकील,२३०,१५०
438,संत्याकुली   ,संतोष मळवीकर,425,319
439,पटयारा,संतोष शिंदे,430,323
440,भारतीय ज्ञानपरंपरा,संदीप जाधव/डॉ. संदीप,३३०,२१५
441,मॉंटुकले दिवस,संदेश कुलकर्णी,199,149
442,इंडियाज  मोस्ट फिअरलेस,संध्या रानडे,350,263
443,जुगाड,संध्या रानडे,400,300
444,अफगाणिस्तान: साम्राज्यांची दफनभूमी,सचिन दिवान,440,330
445,"यांनी घडवला""भारत""",सतीश कामत,170,128
446,कहाणी वाक्प्रचारांची,सदानंद कदम,250,188
447,कहाणी शब्दांची,सदानंद कदम,250,188
448,काळीजखुणा ,सदानंद कदम,299,224
449,गाथा स्वराज्याची,सदानंद कदम,399,299
450,पंडित जवाहरलाल नेहरू,सदानंद नाईक,150,113
451,या सम हा,सदानंद मोरे,350,263
452,चाहूर,समीर गायकवाड,330,248
453,झांबळ,समीर गायकवाड,280,210
454,अस्वस्थ नायकाचे अंतरंग,सरोज जगताप,320,240
455,इन्व्हेटॉनॉमी,सविता दामले,260,195
456,तुमचे-आमचे सुपरहिरो - शर्मिला इरोम,सविता दामले,99,74
457,तुमचे-आमचे सुपरहिरो रतन टाटा,सविता दामले,120,90
458,दूरदर्शी आंबेडकर,सविता दामले,399,299
459,श्यामची आई,सानेगुरुजी कथामाल,७०,४६
460,इंडियाज मोस्ट फिअरलेस - 2,सायली परांजपे,460,345
461,मान्सून : जन-गण-मन,सुनील तांबे,270,203
462,Nehru-Patel-Bose (नेहरू-पटेल-बोस),सुनील सांगळे,350,263
463,सिल्व्हर नीडल),सुमेध वडावाला,320,240
464,प्रश्नोपनिषद,सुरेश द्वादशीकर,250,188
465,स्मरण,सुरेश द्वादशीकर,270,203
466,कोकणातल्या गंमतीदार गोष्टी,सुहास बारटक्के,२००,१३०
467,अखेर,सुहास शिरवळकर,३००,१९५
468,अवाढव्य,सुहास शिरवळकर,३२०,२०८
469,अस्तित्व,सुहास शिरवळकर,४५०,२९३
470,इलेव्हथ अवर (डेमी),सुहास शिरवळकर,२००,१३०
471,उस्ताद (डेमी),सुहास शिरवळकर,२३०,१५०
472,ऑपरेशन बुलेट ,सुहास शिरवळकर,२३०,१५०
473,ऑब्जेक्शन युवर ऑनर,सुहास शिरवळकर,१६०,१०४
474,कट्टर,सुहास शिरवळकर,१६०,१०४
475,कलंक,सुहास शिरवळकर,२४०,१५६
476,कल्पांत (डेमी),सुहास शिरवळकर,३००,१९५
477,कोल्ड ब्लड (डेमी),सुहास शिरवळकर,२५०,१६३
478,कोवळीक (डेमी),सुहास शिरवळकर,२७०,१७६
479,खुनी पाऊस,सुहास शिरवळकर,२००,१३०
480,चक्रव्यूह,सुहास शिरवळकर,१६०,१०४
481,जाता येता,सुहास शिरवळकर,२६०,१६९
482,झंझावाती,सुहास शिरवळकर,१९०,१२४
483,तुकडा तुकडा चंद्र,सुहास शिरवळकर,२६०,१६९
484,थर्राट,सुहास शिरवळकर,२२०,१४३
485,दास्तान,सुहास शिरवळकर,२५०,१६३
486,दुनियादारी (विसावी आवृत्ती),सुहास शिरवळकर,३५०,२२८
487,पहाडी,सुहास शिरवळकर,२००,१३०
488,बरसात चांदण्याची (डेमी),सुहास शिरवळकर,२५०,१६३
489,मध्यरात्री,सुहास शिरवळकर,१८०,११७
490,मर्डर हाऊस,सुहास शिरवळकर,२५०,१६३
491,मातम,सुहास शिरवळकर,२१०,१३७
492,मास्टर प्लॅन,सुहास शिरवळकर,२२०,१४३
493,सनसनाटी,सुहास शिरवळकर,३२०,२०८
494,समांतर (सातवी आवृत्ती),सुहास शिरवळकर,२८०,१८२
495,सराईत (डेमी),सुहास शिरवळकर,२६०,१६९
496,सुहास शिरवळकरांच्या कविता,सुहास शिरवळकर,२२०,१४३
497,सॉरी सर,सुहास शिरवळकर,१६०,१०४
498,सॉलिड (डेमी),सुहास शिरवळकर,२२०,१४३
499,स्टार हंटर्स,सुहास शिरवळकर,४४०,२८६
500,हिरवी नजर,सुहास शिरवळकर,३००,१९५
501,तुमचे-आमचे सुपरहिरो: मेधा पाटकर,सोनाली नवांगुळ,80,60
502,डिटेक्टिव्ह अल्फा -‘अमर-अकबर-अँथनी’ कोडं,सौरभ वागळे,१८०,११७
503,डिटेक्टिव्ह अल्फा -‘मोरेवाडी इस्टेट’मधील रहस्य,सौरभ वागळे,२४०,१५६
504,डिटेक्टिव्ह अल्फा आणि कागदी पक्ष्यांचे गुपित,सौरभ वागळे,३२०,२०८
505,डिटेक्टिव्ह अल्फा आणि कोरलेल्या तीन आकृत्या,सौरभ वागळे,२४०,१५६
506,डिटेक्टिव्ह अल्फा आणि ग्रामदेवतेचा प्रकोप ,सौरभ वागळे,३२०,२०८
507,डिटेक्टिव्ह अल्फा आणि ब्लूमूरचे रहस्य,सौरभ वागळे,२७०,१७६
508,डिटेक्टिव्ह अल्फा आणि मखमली मोहजाल,सौरभ वागळे,३३०,२१५
509,डिटेक्टिव्ह अल्फा आणि मध्यरात्रीचं संगीत,सौरभ वागळे,३४०,२२१
510,डिटेक्टिव्ह अल्फा आणि मृत्यूचे संदेश,सौरभ वागळे,१८०,११७
511,बट्टोची खिडकी,स्मिता बनकर,२२०,१४३
512,तुमचे-आमचे सुपरहिरो अण्णा हजारे,स्वाती म्हाळक,70,53
513,पैशाची ताकद ओळखा,हर्षवर्धन कुलकर्णी,270,203
514,जे. कृष्णमूर्ती आणि कृष्णमूर्ती स्कूल्स,हेरंब कुलकर्णी,250,188
515,परीक्षेला पर्याय काय,हेरंब कुलकर्णी,360,270
516,देशोधडी,,400,300
